pr_id,pr_url,repo_full_name,agent,created_at,merged_at,n_dependency_changes,pr_type,manifest_paths,tool_evidence
ssk525/agentic-research-assistant#3,https://github.com/ssk525/agentic-research-assistant/pull/3,ssk525/agentic-research-assistant,copilot,2026-06-09T05:34:07Z,,1,version_change_only,requirements.txt,aidev_agent:copilot
donny-devops/fastapi-starter-kit#4,https://github.com/donny-devops/fastapi-starter-kit/pull/4,donny-devops/fastapi-starter-kit,copilot,2026-06-08T11:21:05Z,,1,new_runtime_dependency,requirements.txt,aidev_agent:copilot
LulzSec1337/MailXapp#11,https://github.com/LulzSec1337/MailXapp/pull/11,LulzSec1337/MailXapp,copilot,2026-04-01T20:29:39Z,,3,new_runtime_dependency,requirements.txt,aidev_agent:copilot
motanova84/Riemann-adelic#228,https://github.com/motanova84/Riemann-adelic/pull/228,motanova84/Riemann-adelic,copilot,2025-09-25T08:31:57Z,,1,new_runtime_dependency,requirements.txt,aidev_agent:copilot
Jems0033/smart-ml-dashboard#1,https://github.com/Jems0033/smart-ml-dashboard/pull/1,Jems0033/smart-ml-dashboard,copilot,2026-04-28T14:41:57Z,,6,new_runtime_dependency,requirements.txt,aidev_agent:copilot
samstill/company_management_backend#1,https://github.com/samstill/company_management_backend/pull/1,samstill/company_management_backend,copilot,2026-05-29T07:51:41Z,,7,version_change_only,requirements.txt,aidev_agent:copilot
mdshahadathossainit/siamese-lstm-paraphrase-identification#1,https://github.com/mdshahadathossainit/siamese-lstm-paraphrase-identification/pull/1,mdshahadathossainit/siamese-lstm-paraphrase-identification,copilot,2026-05-02T07:36:14Z,,12,new_runtime_dependency,requirements.txt,aidev_agent:copilot
ssk525/agentic-research-assistant#4,https://github.com/ssk525/agentic-research-assistant/pull/4,ssk525/agentic-research-assistant,copilot,2026-06-09T06:14:44Z,,1,version_change_only,requirements.txt,aidev_agent:copilot
ssk525/agentic-research-assistant#1,https://github.com/ssk525/agentic-research-assistant/pull/1,ssk525/agentic-research-assistant,copilot,2026-06-08T18:16:42Z,,1,version_change_only,requirements.txt,aidev_agent:copilot
questusmx/data#12,https://github.com/questusmx/data/pull/12,questusmx/data,copilot,2026-04-11T13:43:00Z,,1,new_runtime_dependency,requirements.txt,aidev_agent:copilot
questusmx/data#13,https://github.com/questusmx/data/pull/13,questusmx/data,copilot,2026-04-11T13:45:37Z,,1,new_runtime_dependency,requirements.txt,aidev_agent:copilot
psachincofs/test-streamlit#1,https://github.com/psachincofs/test-streamlit/pull/1,psachincofs/test-streamlit,copilot,2026-06-10T20:27:28Z,,3,new_runtime_dependency,requirements.txt,aidev_agent:copilot
atze1210/nimbus-eth2#52,https://github.com/atze1210/nimbus-eth2/pull/52,atze1210/nimbus-eth2,copilot,2026-05-25T05:35:27Z,,1,new_runtime_dependency,ncli/requirements.txt,aidev_agent:copilot
Rayabad/RDG#1,https://github.com/Rayabad/RDG/pull/1,Rayabad/RDG,copilot,2026-06-11T08:48:03Z,,9,new_runtime_dependency,requirements.txt,aidev_agent:copilot
Clarifai/pipeline-examples#31,https://github.com/Clarifai/pipeline-examples/pull/31,Clarifai/pipeline-examples,copilot,2026-05-19T14:49:31Z,,4,new_runtime_dependency,classifier-pipeline-resnet-quick-start/model-version-train-ps/1/models/model/requirements.txt|classifier-pipeline-resnet-quick-start/model-version-train-ps/requirements.txt|classifier-pipeline-resnet/classifier-pipeline-resnet-ps/1/models/model/requirements.txt|classifier-pipeline-resnet/classifier-pipeline-resnet-ps/requirements.txt,aidev_agent:copilot
hwmty100131-hash/nbnb-#3,https://github.com/hwmty100131-hash/nbnb-/pull/3,hwmty100131-hash/nbnb-,copilot,2026-03-14T09:40:42Z,,2,new_runtime_dependency,requirements.txt,aidev_agent:copilot
bharath1997-crypto/group-travel-os#9,https://github.com/bharath1997-crypto/group-travel-os/pull/9,bharath1997-crypto/group-travel-os,copilot,2026-05-09T20:11:14Z,,2,version_change_only,requirements.txt,aidev_agent:copilot
Aijazakbar/Spitting-Detection-System#1,https://github.com/Aijazakbar/Spitting-Detection-System/pull/1,Aijazakbar/Spitting-Detection-System,copilot,2026-03-10T15:47:56Z,,3,new_runtime_dependency,requirements.txt,aidev_agent:copilot
HaTranThai/multi-agent-base-for-history#1,https://github.com/HaTranThai/multi-agent-base-for-history/pull/1,HaTranThai/multi-agent-base-for-history,copilot,2025-12-02T04:12:22Z,,12,new_runtime_dependency,requirements.txt,aidev_agent:copilot
monishhariharan/Deep-Learning-CFA#3,https://github.com/monishhariharan/Deep-Learning-CFA/pull/3,monishhariharan/Deep-Learning-CFA,copilot,2026-03-26T14:27:34Z,,5,new_runtime_dependency,requirements.txt,aidev_agent:copilot
ssk525/agentic-research-assistant#2,https://github.com/ssk525/agentic-research-assistant/pull/2,ssk525/agentic-research-assistant,copilot,2026-06-08T18:28:23Z,,1,version_change_only,requirements.txt,aidev_agent:copilot
brwngld/SessionSentinel#1,https://github.com/brwngld/SessionSentinel/pull/1,brwngld/SessionSentinel,copilot,2026-03-27T07:35:47Z,,1,new_runtime_dependency,requirements.txt,aidev_agent:copilot
atze1210/nimbus-eth2#53,https://github.com/atze1210/nimbus-eth2/pull/53,atze1210/nimbus-eth2,copilot,2026-05-25T10:43:01Z,,1,new_runtime_dependency,ncli/requirements.txt,aidev_agent:copilot
adsmithhh/insideworld#22,https://github.com/adsmithhh/insideworld/pull/22,adsmithhh/insideworld,copilot,2026-03-20T20:13:20Z,,2,new_runtime_dependency,requirements.txt,aidev_agent:copilot
bharath1997-crypto/group-travel-os#10,https://github.com/bharath1997-crypto/group-travel-os/pull/10,bharath1997-crypto/group-travel-os,copilot,2026-05-09T20:22:00Z,,4,new_runtime_dependency,requirements.txt,aidev_agent:copilot
moshoodyakub-pixel/Intelligent-POS-System#48,https://github.com/moshoodyakub-pixel/Intelligent-POS-System/pull/48,moshoodyakub-pixel/Intelligent-POS-System,copilot,2026-03-18T15:59:01Z,,1,new_runtime_dependency,backend/requirements.txt,aidev_agent:copilot
hmacias2020/TestHaydee#6,https://github.com/hmacias2020/TestHaydee/pull/6,hmacias2020/TestHaydee,copilot,2026-05-29T14:55:23Z,,1,new_runtime_dependency,requirements.txt,aidev_agent:copilot
motanova84/P-NP#40,https://github.com/motanova84/P-NP/pull/40,motanova84/P-NP,copilot,2025-10-10T20:52:38Z,,3,new_runtime_dependency,requirements.txt,aidev_agent:copilot
Jeevan4125/Autonomous-Vechiles-And-Robotics#1,https://github.com/Jeevan4125/Autonomous-Vechiles-And-Robotics/pull/1,Jeevan4125/Autonomous-Vechiles-And-Robotics,copilot,2026-02-23T05:50:54Z,,1,new_runtime_dependency,requirements.txt,aidev_agent:copilot
btygd543/Telegroub-#4,https://github.com/btygd543/Telegroub-/pull/4,btygd543/Telegroub-,copilot,2026-04-02T07:56:29Z,,28,new_runtime_dependency,requirements.txt,aidev_agent:copilot
Azure/azureml-examples#4016,https://github.com/Azure/azureml-examples/pull/4016,Azure/azureml-examples,copilot,2026-06-08T06:38:10Z,,2,new_runtime_dependency,tutorials/get-started-notebooks/deploy/credit_defaults_model/requirements.txt,aidev_agent:copilot
Kim-254-de/SMARTTT_BACKEND#1,https://github.com/Kim-254-de/SMARTTT_BACKEND/pull/1,Kim-254-de/SMARTTT_BACKEND,copilot,2026-06-04T12:42:50Z,,3,new_runtime_dependency,requirements.txt,aidev_agent:copilot
Rayabad/RDG#2,https://github.com/Rayabad/RDG/pull/2,Rayabad/RDG,copilot,2026-06-11T13:28:00Z,,9,new_runtime_dependency,requirements.txt,aidev_agent:copilot
mcininch/id-pvc-card-printing-epson-4830-utilizing-2-card-tray#5,https://github.com/mcininch/id-pvc-card-printing-epson-4830-utilizing-2-card-tray/pull/5,mcininch/id-pvc-card-printing-epson-4830-utilizing-2-card-tray,copilot,2026-03-10T20:55:25Z,,4,new_runtime_dependency,requirements.txt,aidev_agent:copilot
Azure/azureml-examples#4015,https://github.com/Azure/azureml-examples/pull/4015,Azure/azureml-examples,copilot,2026-06-08T06:24:58Z,,5,new_runtime_dependency,tutorials/get-started-notebooks/deploy/credit_defaults_model/requirements.txt,aidev_agent:copilot
jgoldie1/jarvis-2.0-memory-vault#7,https://github.com/jgoldie1/jarvis-2.0-memory-vault/pull/7,jgoldie1/jarvis-2.0-memory-vault,copilot,2026-03-12T06:42:02Z,,15,new_runtime_dependency,requirements.txt,aidev_agent:copilot
ravelaakhil/.gitignor#1,https://github.com/ravelaakhil/.gitignor/pull/1,ravelaakhil/.gitignor,copilot,2026-03-27T17:10:17Z,,4,new_runtime_dependency,requirements.txt,aidev_agent:copilot
milandare26feb-ops/video-dubbing-ai#2,https://github.com/milandare26feb-ops/video-dubbing-ai/pull/2,milandare26feb-ops/video-dubbing-ai,copilot,2026-05-13T02:06:54Z,,6,version_change_only,requirements.txt,aidev_agent:copilot
3rdIteration/keycard-cli#1,https://github.com/3rdIteration/keycard-cli/pull/1,3rdIteration/keycard-cli,copilot,2026-06-03T21:23:20Z,,6,new_runtime_dependency,python/pyproject.toml|python/requirements.txt,aidev_agent:copilot
ruksad/AanalyticsAndForecastingUsingMl#1,https://github.com/ruksad/AanalyticsAndForecastingUsingMl/pull/1,ruksad/AanalyticsAndForecastingUsingMl,copilot,2026-06-13T10:00:00Z,,5,new_runtime_dependency,requirements.txt,aidev_agent:copilot
charoro/charoro_mcp_and_sklills#2,https://github.com/charoro/charoro_mcp_and_sklills/pull/2,charoro/charoro_mcp_and_sklills,copilot,2026-06-08T17:01:50Z,,1,new_runtime_dependency,skills/python/pptx_from_markdown/requirements.txt,aidev_agent:copilot
milandare26feb-ops/video-dubbing-ai#1,https://github.com/milandare26feb-ops/video-dubbing-ai/pull/1,milandare26feb-ops/video-dubbing-ai,copilot,2026-05-13T02:00:25Z,,6,version_change_only,requirements.txt,aidev_agent:copilot
mldc3/monte-carlo-metropolis-simulation-methods#1,https://github.com/mldc3/monte-carlo-metropolis-simulation-methods/pull/1,mldc3/monte-carlo-metropolis-simulation-methods,copilot,2026-05-17T08:20:37Z,,3,new_runtime_dependency,requirements.txt,aidev_agent:copilot
Mo7amedfayyad/FayyadBot#1,https://github.com/Mo7amedfayyad/FayyadBot/pull/1,Mo7amedfayyad/FayyadBot,copilot,2026-03-20T00:28:42Z,,3,new_runtime_dependency,requirements.txt,aidev_agent:copilot
Meap3636001/INN-from-scratch-lab#1,https://github.com/Meap3636001/INN-from-scratch-lab/pull/1,Meap3636001/INN-from-scratch-lab,copilot,2026-06-04T17:23:23Z,,5,new_runtime_dependency,requirements.txt,aidev_agent:copilot
L-MARK/KG-VAQSystemOnMedical-master#1,https://github.com/L-MARK/KG-VAQSystemOnMedical-master/pull/1,L-MARK/KG-VAQSystemOnMedical-master,copilot,2026-03-02T07:01:45Z,,5,new_runtime_dependency,requirements.txt,aidev_agent:copilot
ansharma0923/semantic-intent-protocol#26,https://github.com/ansharma0923/semantic-intent-protocol/pull/26,ansharma0923/semantic-intent-protocol,copilot,2026-05-29T02:03:45Z,,4,version_change_only,pyproject.toml|requirements.txt,aidev_agent:copilot
djmahe4/ctf-katana#3,https://github.com/djmahe4/ctf-katana/pull/3,djmahe4/ctf-katana,copilot,2026-04-14T12:20:19Z,,8,new_runtime_dependency,pyproject.toml|requirements.txt|skills/tryhackme/requirements.txt,aidev_agent:copilot
motanova84/Riemann-adelic#183,https://github.com/motanova84/Riemann-adelic/pull/183,motanova84/Riemann-adelic,copilot,2025-09-25T04:25:22Z,,3,new_runtime_dependency,requirements.txt,aidev_agent:copilot
ZyRoX-prepa/boudchice#1,https://github.com/ZyRoX-prepa/boudchice/pull/1,ZyRoX-prepa/boudchice,copilot,2026-06-02T14:10:12Z,,9,new_runtime_dependency,requirements.txt,aidev_agent:copilot
alan9475/requirements.txt.#1,https://github.com/alan9475/requirements.txt./pull/1,alan9475/requirements.txt.,copilot,2026-02-07T13:17:34Z,,3,new_runtime_dependency,requirements.txt,aidev_agent:copilot
TRAIL-rcvlab/DemoGen#4,https://github.com/TRAIL-rcvlab/DemoGen/pull/4,TRAIL-rcvlab/DemoGen,copilot,2026-02-27T03:13:07Z,,1,new_runtime_dependency,requirements.txt,aidev_agent:copilot
gtgspot/ActionsGPT-Legal-Reasoning-API#45,https://github.com/gtgspot/ActionsGPT-Legal-Reasoning-API/pull/45,gtgspot/ActionsGPT-Legal-Reasoning-API,copilot,2026-04-18T06:24:19Z,,3,dev_dependency_only,requirements-dev.txt,aidev_agent:copilot
atze1210/xrpl-dev-portal#212,https://github.com/atze1210/xrpl-dev-portal/pull/212,atze1210/xrpl-dev-portal,copilot,2026-05-30T23:22:05Z,,1,new_runtime_dependency,_code-samples/escrow/py/requirements.txt,aidev_agent:copilot
maherkh07/ecommerce-transaction-analysis#1,https://github.com/maherkh07/ecommerce-transaction-analysis/pull/1,maherkh07/ecommerce-transaction-analysis,copilot,2026-05-20T13:14:19Z,,5,new_runtime_dependency,requirements.txt,aidev_agent:copilot
milandare26feb-ops/video-dubbing-ai#3,https://github.com/milandare26feb-ops/video-dubbing-ai/pull/3,milandare26feb-ops/video-dubbing-ai,copilot,2026-05-13T02:08:34Z,,2,new_runtime_dependency,requirements.txt,aidev_agent:copilot
atze1210/xrpl-dev-portal#213,https://github.com/atze1210/xrpl-dev-portal/pull/213,atze1210/xrpl-dev-portal,copilot,2026-05-30T23:29:21Z,,1,new_runtime_dependency,_code-samples/escrow/py/requirements.txt,aidev_agent:copilot
MhmdRida20/42_work#1,https://github.com/MhmdRida20/42_work/pull/1,MhmdRida20/42_work,copilot,2026-06-13T18:22:07Z,,6,new_runtime_dependency,p08/ex1/pyproject.toml|p08/ex1/requirements.txt,aidev_agent:copilot
Owaisbhat77/etpMD#1,https://github.com/Owaisbhat77/etpMD/pull/1,Owaisbhat77/etpMD,copilot,2026-05-14T04:16:27Z,,2,new_runtime_dependency,requirements.txt,aidev_agent:copilot
Wafheck/searchlight#2,https://github.com/Wafheck/searchlight/pull/2,Wafheck/searchlight,copilot,2025-12-12T12:17:07Z,,5,new_runtime_dependency,requirements.txt,aidev_agent:copilot
debjitttdasss/Ai-project#4,https://github.com/debjitttdasss/Ai-project/pull/4,debjitttdasss/Ai-project,copilot,2026-03-26T08:41:25Z,,2,new_runtime_dependency,requirements.txt,aidev_agent:copilot
kafaat/sahool-unified-v15-idp#1809,https://github.com/kafaat/sahool-unified-v15-idp/pull/1809,kafaat/sahool-unified-v15-idp,copilot,2026-05-13T12:29:50Z,,38,new_runtime_dependency,apps/services/ndvi-processor/requirements.txt|archive/deprecated-services/agro-advisor/requirements.txt,aidev_agent:copilot
apy65360-hash/customer-support-env#4,https://github.com/apy65360-hash/customer-support-env/pull/4,apy65360-hash/customer-support-env,copilot,2026-04-12T15:47:16Z,,1,version_change_only,requirements.txt,aidev_agent:copilot
ssk525/agentic-research-assistant#5,https://github.com/ssk525/agentic-research-assistant/pull/5,ssk525/agentic-research-assistant,copilot,2026-06-09T06:54:22Z,,1,version_change_only,requirements.txt,aidev_agent:copilot
cafoala/technical-llamaindex#2,https://github.com/cafoala/technical-llamaindex/pull/2,cafoala/technical-llamaindex,copilot,2026-03-24T16:46:22Z,,5,new_runtime_dependency,requirements.txt,aidev_agent:copilot
kiboki1234/Texto-voz-voz-Texto#2,https://github.com/kiboki1234/Texto-voz-voz-Texto/pull/2,kiboki1234/Texto-voz-voz-Texto,copilot,2026-05-22T07:03:15Z,,1,version_change_only,backend/requirements.txt,aidev_agent:copilot
MariaKozakou/neura#1,https://github.com/MariaKozakou/neura/pull/1,MariaKozakou/neura,copilot,2026-05-22T08:50:34Z,,1,new_runtime_dependency,requirements.txt,aidev_agent:copilot
musatouray/SQL_Customer_RFM_Analysis#1,https://github.com/musatouray/SQL_Customer_RFM_Analysis/pull/1,musatouray/SQL_Customer_RFM_Analysis,copilot,2026-03-22T13:00:05Z,,6,new_runtime_dependency,requirements.txt,aidev_agent:copilot
HaibinFan/dermamnist-skin-lesion-classification#3,https://github.com/HaibinFan/dermamnist-skin-lesion-classification/pull/3,HaibinFan/dermamnist-skin-lesion-classification,copilot,2026-03-23T23:27:55Z,,6,new_runtime_dependency,requirements.txt,aidev_agent:copilot
ShubhikaVerma/AI-Driven-Framework-for-Automated-Social-Media-Content-Generation-and-Optimization#1,https://github.com/ShubhikaVerma/AI-Driven-Framework-for-Automated-Social-Media-Content-Generation-and-Optimization/pull/1,ShubhikaVerma/AI-Driven-Framework-for-Automated-Social-Media-Content-Generation-and-Optimization,copilot,2026-03-19T05:25:31Z,,15,new_runtime_dependency,requirements.txt,aidev_agent:copilot
motanova84/Riemann-adelic#2748,https://github.com/motanova84/Riemann-adelic/pull/2748,motanova84/Riemann-adelic,copilot,2026-03-16T21:32:19Z,,4,version_change_only,requirements-lock.txt|requirements.txt|requirements_extended.txt,aidev_agent:copilot
federicocanali02-01/Immobiliare.it-Housing-Prices#2,https://github.com/federicocanali02-01/Immobiliare.it-Housing-Prices/pull/2,federicocanali02-01/Immobiliare.it-Housing-Prices,copilot,2026-01-09T20:11:31Z,,9,new_runtime_dependency,requirements.txt,aidev_agent:copilot
Zakbinshoaib/Encryption-and-Decryption-of-files#1,https://github.com/Zakbinshoaib/Encryption-and-Decryption-of-files/pull/1,Zakbinshoaib/Encryption-and-Decryption-of-files,copilot,2026-03-22T14:39:52Z,,1,new_runtime_dependency,requirements.txt,aidev_agent:copilot
DevRexxxx/Music_Player#10,https://github.com/DevRexxxx/Music_Player/pull/10,DevRexxxx/Music_Player,copilot,2025-12-30T18:38:16Z,,14,new_runtime_dependency,requirements.txt,aidev_agent:copilot
nittinnm22-sudo/lung-asp#2,https://github.com/nittinnm22-sudo/lung-asp/pull/2,nittinnm22-sudo/lung-asp,copilot,2026-03-21T06:30:18Z,,6,new_runtime_dependency,requirements.txt,aidev_agent:copilot
RishiRajput1373/customer-churn#1,https://github.com/RishiRajput1373/customer-churn/pull/1,RishiRajput1373/customer-churn,copilot,2026-06-10T14:27:06Z,,9,new_runtime_dependency,requirements.txt,aidev_agent:copilot
dotkaio/pose-tracking-3d#3,https://github.com/dotkaio/pose-tracking-3d/pull/3,dotkaio/pose-tracking-3d,copilot,2026-05-20T07:05:27Z,,31,new_runtime_dependency,requirements.txt,aidev_agent:copilot
gevanoff/raspberry_pi_projects#1,https://github.com/gevanoff/raspberry_pi_projects/pull/1,gevanoff/raspberry_pi_projects,copilot,2026-06-09T23:14:51Z,,23,mixed,projects/template/requirements.txt|requirements-dev.txt|requirements.txt,aidev_agent:copilot
jmalik001/content-writer-agent#5,https://github.com/jmalik001/content-writer-agent/pull/5,jmalik001/content-writer-agent,copilot,2026-04-18T14:28:26Z,,1,version_change_only,backend/requirements.txt,aidev_agent:copilot
3rdIteration/seedsigner#366,https://github.com/3rdIteration/seedsigner/pull/366,3rdIteration/seedsigner,copilot,2026-06-10T23:42:28Z,,1,new_runtime_dependency,l10n/requirements-l10n.txt,aidev_agent:copilot
im-sandbox-sukumarp/expense-tracker#16,https://github.com/im-sandbox-sukumarp/expense-tracker/pull/16,im-sandbox-sukumarp/expense-tracker,copilot,2026-05-24T07:16:23Z,,1,new_runtime_dependency,requirements.txt,aidev_agent:copilot
Ajay-NooB143/alpha-gpt#5,https://github.com/Ajay-NooB143/alpha-gpt/pull/5,Ajay-NooB143/alpha-gpt,copilot,2026-04-14T13:44:34Z,,13,new_runtime_dependency,requirements.txt,aidev_agent:copilot
uzzalbhuiyan318/Siena-Scalp-Research#1,https://github.com/uzzalbhuiyan318/Siena-Scalp-Research/pull/1,uzzalbhuiyan318/Siena-Scalp-Research,copilot,2026-04-11T08:19:56Z,,12,new_runtime_dependency,requirements.txt,aidev_agent:copilot
justin-mbca/bioinformatics_pipeline#4,https://github.com/justin-mbca/bioinformatics_pipeline/pull/4,justin-mbca/bioinformatics_pipeline,copilot,2025-12-31T19:43:02Z,,2,new_runtime_dependency,requirements.txt,aidev_agent:copilot
Usman-star49/data-science-notebooks#3,https://github.com/Usman-star49/data-science-notebooks/pull/3,Usman-star49/data-science-notebooks,copilot,2026-04-11T13:20:39Z,,13,new_runtime_dependency,requirements.txt,aidev_agent:copilot
Dhanush-M-0/SmartBiz#1,https://github.com/Dhanush-M-0/SmartBiz/pull/1,Dhanush-M-0/SmartBiz,copilot,2026-03-28T23:29:32Z,,1,version_change_only,requirements.txt,aidev_agent:copilot
joviw0715/voice-ai#1,https://github.com/joviw0715/voice-ai/pull/1,joviw0715/voice-ai,copilot,2026-05-12T11:17:04Z,,4,new_runtime_dependency,requirements.txt,aidev_agent:copilot
indu-ai-coder/ai_research_assistant#1,https://github.com/indu-ai-coder/ai_research_assistant/pull/1,indu-ai-coder/ai_research_assistant,copilot,2026-01-01T07:47:40Z,,4,new_runtime_dependency,requirements.txt,aidev_agent:copilot
Shierfall/MiniProject2DRTS#1,https://github.com/Shierfall/MiniProject2DRTS/pull/1,Shierfall/MiniProject2DRTS,copilot,2026-04-09T11:28:53Z,,1,new_runtime_dependency,requirements.txt,aidev_agent:copilot
shivaylamba/gemma4-finetuning-on-legaldata#1,https://github.com/shivaylamba/gemma4-finetuning-on-legaldata/pull/1,shivaylamba/gemma4-finetuning-on-legaldata,copilot,2026-04-21T09:39:44Z,,11,new_runtime_dependency,requirements.txt,aidev_agent:copilot
lahirumanulanka/brokeme-api#4,https://github.com/lahirumanulanka/brokeme-api/pull/4,lahirumanulanka/brokeme-api,copilot,2026-03-24T05:04:27Z,,7,new_runtime_dependency,requirements.txt,aidev_agent:copilot
Karanraj-6/University_ChatBot#3,https://github.com/Karanraj-6/University_ChatBot/pull/3,Karanraj-6/University_ChatBot,copilot,2026-01-27T20:29:22Z,,1,new_runtime_dependency,requirements.txt,aidev_agent:copilot
Har00ny/TechExcel-Integrating-Azure-PaaS-and-AI-Services-for-AI-Design-Wins#1,https://github.com/Har00ny/TechExcel-Integrating-Azure-PaaS-and-AI-Services-for-AI-Design-Wins/pull/1,Har00ny/TechExcel-Integrating-Azure-PaaS-and-AI-Services-for-AI-Design-Wins,copilot,2026-06-07T12:10:35Z,,1,new_runtime_dependency,src/NameAgeApp/requirements.txt,aidev_agent:copilot
TarigondaNareshReddy/MRI-Brain-Tumor-Classification_Using_Hybrid_CNN#1,https://github.com/TarigondaNareshReddy/MRI-Brain-Tumor-Classification_Using_Hybrid_CNN/pull/1,TarigondaNareshReddy/MRI-Brain-Tumor-Classification_Using_Hybrid_CNN,copilot,2026-06-12T06:32:28Z,,5,new_runtime_dependency,requirements.txt,aidev_agent:copilot
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8,https://github.com/Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026/pull/8,Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026,copilot,2026-04-22T21:16:54Z,,292,new_runtime_dependency,apps/api/requirements.lock.txt|apps/api/requirements.txt,aidev_agent:copilot
tian0605/ecommerce#1,https://github.com/tian0605/ecommerce/pull/1,tian0605/ecommerce,copilot,2026-03-30T03:10:15Z,,6,new_runtime_dependency,requirements.txt,aidev_agent:copilot
marcsaffar/quizz-rabbin#1,https://github.com/marcsaffar/quizz-rabbin/pull/1,marcsaffar/quizz-rabbin,copilot,2025-12-16T14:13:24Z,,1,new_runtime_dependency,requirements.txt,aidev_agent:copilot
tathamitra/my-first-agent#7,https://github.com/tathamitra/my-first-agent/pull/7,tathamitra/my-first-agent,copilot,2026-05-27T12:36:40Z,,1,new_runtime_dependency,requirements.txt,aidev_agent:copilot
ULFHEDNAR-JAKE/OEN-Project_MUx1-2a533117#38,https://github.com/ULFHEDNAR-JAKE/OEN-Project_MUx1-2a533117/pull/38,ULFHEDNAR-JAKE/OEN-Project_MUx1-2a533117,copilot,2026-05-11T12:51:28Z,,1,new_runtime_dependency,requirements.txt,aidev_agent:copilot
danielcallejass2025-boop/SIVIGILAV2#1,https://github.com/danielcallejass2025-boop/SIVIGILAV2/pull/1,danielcallejass2025-boop/SIVIGILAV2,copilot,2026-04-23T19:47:51Z,,3,version_change_only,requirements.txt,aidev_agent:copilot
wil-09/Pattern-formation-in-Active-Suspension#2,https://github.com/wil-09/Pattern-formation-in-Active-Suspension/pull/2,wil-09/Pattern-formation-in-Active-Suspension,copilot,2026-03-25T08:05:50Z,,2,new_runtime_dependency,requirements.txt,aidev_agent:copilot
shikharrana/seqBased_Embeddings-#2,https://github.com/shikharrana/seqBased_Embeddings-/pull/2,shikharrana/seqBased_Embeddings-,copilot,2026-04-28T13:33:33Z,,7,new_runtime_dependency,requirements.txt,aidev_agent:copilot
wil-09/Pattern-formation-in-Active-Suspension#3,https://github.com/wil-09/Pattern-formation-in-Active-Suspension/pull/3,wil-09/Pattern-formation-in-Active-Suspension,copilot,2026-03-25T08:06:19Z,,2,new_runtime_dependency,requirements.txt,aidev_agent:copilot
cafoala/technical-llamaindex#3,https://github.com/cafoala/technical-llamaindex/pull/3,cafoala/technical-llamaindex,copilot,2026-03-24T16:59:36Z,,5,new_runtime_dependency,requirements.txt,aidev_agent:copilot
ArnavBallinCode/TimetableIIITDWD#29,https://github.com/ArnavBallinCode/TimetableIIITDWD/pull/29,ArnavBallinCode/TimetableIIITDWD,copilot,2026-03-31T18:53:24Z,,2,new_runtime_dependency,requirements.txt,aidev_agent:copilot
supunabeywickrama/Kidney-Disease-Classification-MLflow-DVC#1,https://github.com/supunabeywickrama/Kidney-Disease-Classification-MLflow-DVC/pull/1,supunabeywickrama/Kidney-Disease-Classification-MLflow-DVC,copilot,2026-05-06T13:58:12Z,,18,new_runtime_dependency,requirements.txt,aidev_agent:copilot
