change_id,package,version,pr_time,old_label,new_label,verdict,covering_cve_prePR
scottBowles/dnd#19::requirements.txt::pillow::version_change,Pillow,11.2.1,2025-06-25T02:33:12Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
dekatz/attendance-tracker#1::requirements.txt::pillow::version_change,pillow,12.2.0,2026-06-13T17:13:49Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
Itsmesrinu/AI-POWERED-MEDICARE-CHATBOT#2::requirements.txt::pandasai::version_change,pandasai,2.3.2,2026-05-28T06:36:18Z,NONE,P3_DIRECT_KNOWN_VULNERABILITY,FN,CVE-2024-12366
Itsmesrinu/AI-POWERED-MEDICARE-CHATBOT#2::requirements.txt::langchain::version_change,langchain,0.3.30,2026-05-28T06:36:18Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
Itsmesrinu/AI-POWERED-MEDICARE-CHATBOT#2::requirements.txt::langchain-core::version_change,langchain-core,0.3.86,2026-05-28T06:36:18Z,NONE,P3_DIRECT_KNOWN_VULNERABILITY,FN,CVE-2026-26013;CVE-2026-34070
LuaxY/superset#16::requirements/base.txt::cryptography::version_change,cryptography,48.0.0,2026-06-04T07:37:53Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
LuaxY/superset#16::requirements/development.txt::cryptography::version_change,cryptography,48.0.0,2026-06-04T07:37:53Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
tadashi0713/superset#1::requirements/base.txt::paramiko::version_change,paramiko,5.0.0,2026-06-01T05:18:53Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_never_covered,
tadashi0713/superset#1::requirements/development.txt::paramiko::version_change,paramiko,5.0.0,2026-06-01T05:18:53Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_never_covered,
heintztyler/superset-for-cog#9::requirements/base.txt::paramiko::version_change,paramiko,5.0.0,2026-06-05T23:54:17Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_never_covered,
heintztyler/superset-for-cog#9::requirements/development.txt::paramiko::version_change,paramiko,5.0.0,2026-06-05T23:54:17Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_never_covered,
Abhijit85/superset#47::requirements/base.txt::paramiko::version_change,paramiko,5.0.0,2026-06-07T17:43:25Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_never_covered,
Abhijit85/superset#47::requirements/development.txt::paramiko::version_change,paramiko,5.0.0,2026-06-07T17:43:25Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_never_covered,
ai4ai/superset#17::requirements/base.txt::paramiko::version_change,paramiko,5.0.0,2026-06-07T18:02:25Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_never_covered,
ai4ai/superset#17::requirements/development.txt::paramiko::version_change,paramiko,5.0.0,2026-06-07T18:02:25Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_never_covered,
blue-eagle/devin_take_home_project#19::requirements/base.txt::paramiko::version_change,paramiko,5.0.0,2026-05-21T07:52:21Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_never_covered,
blue-eagle/devin_take_home_project#19::requirements/development.txt::paramiko::version_change,paramiko,5.0.0,2026-05-21T07:52:21Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_never_covered,
gaurav21/superset#16::requirements/base.txt::ecdsa::add,ecdsa,0.19.2,2026-06-07T05:59:42Z,NONE,P3_DIRECT_KNOWN_VULNERABILITY,FN,CVE-2024-23342
vrnwal/superset#7::requirements/base.txt::cryptography::version_change,cryptography,48.0.0,2026-05-26T01:39:43Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
vrnwal/superset#7::requirements/development.txt::cryptography::version_change,cryptography,48.0.0,2026-05-26T01:39:43Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
vaniachow/superset#108::requirements/base.txt::paramiko::version_change,paramiko,5.0.0,2026-05-20T17:48:28Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_never_covered,
vaniachow/superset#108::requirements/development.txt::paramiko::version_change,paramiko,5.0.0,2026-05-20T17:48:28Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_never_covered,
annagibaeva/Superset--Devin#12::requirements/base.txt::cryptography::version_change,cryptography,48.0.0,2026-06-03T15:18:24Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
annagibaeva/Superset--Devin#12::requirements/development.txt::cryptography::version_change,cryptography,48.0.0,2026-06-03T15:18:24Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
leeadh/superset#19::requirements/base.txt::cryptography::version_change,cryptography,48.0.0,2026-05-20T07:00:36Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
leeadh/superset#19::requirements/development.txt::cryptography::version_change,cryptography,48.0.0,2026-05-20T07:00:36Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
Sahanawit/superset#5::requirements/base.txt::cryptography::version_change,cryptography,48.0.0,2026-06-03T22:32:59Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
Sahanawit/superset#5::requirements/development.txt::cryptography::version_change,cryptography,48.0.0,2026-06-03T22:32:59Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
LuaxY/superset#14::requirements/base.txt::cryptography::version_change,cryptography,48.0.0,2026-06-04T07:00:40Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
LuaxY/superset#14::requirements/base.txt::paramiko::version_change,paramiko,5.0.0,2026-06-04T07:00:40Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_never_covered,
LuaxY/superset#14::requirements/development.txt::cryptography::version_change,cryptography,48.0.0,2026-06-04T07:00:40Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
LuaxY/superset#14::requirements/development.txt::paramiko::version_change,paramiko,5.0.0,2026-06-04T07:00:40Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_never_covered,
Samikshapatil2511/schneider-aws-nyc-ass#1::requirements.txt::click::add,click,8.1.7,2026-06-11T16:34:59Z,NONE,P3_DIRECT_KNOWN_VULNERABILITY,FN,CVE-2026-7246
Samikshapatil2511/schneider-aws-nyc-ass#4::requirements.txt::click::add,click,8.1.7,2026-06-11T16:40:38Z,NONE,P3_DIRECT_KNOWN_VULNERABILITY,FN,CVE-2026-7246
Xandresx1/Automatizacion-De-Reportes-Python-Flask#2::requirements.txt::pillow::version_change,Pillow,12.2.0,2026-06-04T15:33:20Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,FP_temporal,
