change_id,package,version,pr_time,current,det_covering_prePR,det_covering_any,det_p3,verdict
milandare26feb-ops/video-dubbing-ai#2::requirements.txt::opencv-python::version_change,opencv-python,4.8.1.78,2026-05-13T02:06:54Z,NONE,,,False,same
milandare26feb-ops/video-dubbing-ai#2::requirements.txt::numpy::version_change,numpy,1.26.4,2026-05-13T02:06:54Z,NONE,,,False,same
milandare26feb-ops/video-dubbing-ai#2::requirements.txt::scipy::version_change,scipy,1.11.4,2026-05-13T02:06:54Z,NONE,,,False,same
milandare26feb-ops/video-dubbing-ai#2::requirements.txt::torch::version_change,torch,2.6.0,2026-05-13T02:06:54Z,P3_DIRECT_KNOWN_VULNERABILITY,GHSA-3749-ghw9-m3mg;GHSA-887c-mr87-cxwp;GHSA-c678-jfcj-6jmf,GHSA-3749-ghw9-m3mg;GHSA-887c-mr87-cxwp;GHSA-c678-jfcj-6jmf,True,same
milandare26feb-ops/video-dubbing-ai#2::requirements.txt::torchaudio::version_change,torchaudio,2.6.0,2026-05-13T02:06:54Z,NONE,,,False,same
milandare26feb-ops/video-dubbing-ai#1::requirements.txt::faster-whisper::version_change,faster-whisper,1.2.1,2026-05-13T02:00:25Z,NONE,,,False,same
milandare26feb-ops/video-dubbing-ai#1::requirements.txt::opencv-python::version_change,opencv-python,4.8.1.78,2026-05-13T02:00:25Z,NONE,,,False,same
milandare26feb-ops/video-dubbing-ai#1::requirements.txt::numpy::version_change,numpy,1.26.4,2026-05-13T02:00:25Z,NONE,,,False,same
milandare26feb-ops/video-dubbing-ai#1::requirements.txt::scipy::version_change,scipy,1.11.4,2026-05-13T02:00:25Z,NONE,,,False,same
milandare26feb-ops/video-dubbing-ai#1::requirements.txt::torch::version_change,torch,2.6.0,2026-05-13T02:00:25Z,P3_DIRECT_KNOWN_VULNERABILITY,GHSA-3749-ghw9-m3mg;GHSA-887c-mr87-cxwp;GHSA-c678-jfcj-6jmf,GHSA-3749-ghw9-m3mg;GHSA-887c-mr87-cxwp;GHSA-c678-jfcj-6jmf,True,same
milandare26feb-ops/video-dubbing-ai#1::requirements.txt::torchaudio::version_change,torchaudio,2.6.0,2026-05-13T02:00:25Z,NONE,,,False,same
L-MARK/KG-VAQSystemOnMedical-master#1::requirements.txt::py2neo::add,py2neo,2021.2.3,2026-03-02T07:01:45Z,P2_INVALID_VERSION_SPEC,,,False,same
motanova84/Riemann-adelic#183::requirements.txt::numpy::version_change,numpy,1.26.4,2025-09-25T04:25:22Z,NONE,,,False,same
motanova84/Riemann-adelic#183::requirements.txt::matplotlib::version_change,matplotlib,3.8.2,2025-09-25T04:25:22Z,NONE,,,False,same
TRAIL-rcvlab/DemoGen#4::requirements.txt::gym::add,gym,0.21.0,2026-02-27T03:13:07Z,NONE,,,False,same
gtgspot/ActionsGPT-Legal-Reasoning-API#45::requirements-dev.txt::ruff::add,ruff,0.15.11,2026-04-18T06:24:19Z,NONE,,,False,same
gtgspot/ActionsGPT-Legal-Reasoning-API#45::requirements-dev.txt::mypy::add,mypy,1.20.1,2026-04-18T06:24:19Z,NONE,,,False,same
gtgspot/ActionsGPT-Legal-Reasoning-API#45::requirements-dev.txt::pytest::add,pytest,9.0.3,2026-04-18T06:24:19Z,NONE,,,False,same
Wafheck/searchlight#2::requirements.txt::googlesearch-python::add,googlesearch-python,1.3.0,2025-12-12T12:17:07Z,NONE,,,False,same
Wafheck/searchlight#2::requirements.txt::keyboard::add,keyboard,0.13.5,2025-12-12T12:17:07Z,NONE,,,False,same
Wafheck/searchlight#2::requirements.txt::pywebview::add,pywebview,6.1,2025-12-12T12:17:07Z,NONE,,,False,same
Wafheck/searchlight#2::requirements.txt::requests::add,requests,2.31.0,2025-12-12T12:17:07Z,P3_DIRECT_KNOWN_VULNERABILITY,GHSA-9hjg-9r4m-mvj7;GHSA-9wx4-h78v-vm56,GHSA-9hjg-9r4m-mvj7;GHSA-9wx4-h78v-vm56;GHSA-gc5v-m9x4-r6x2,True,same
Wafheck/searchlight#2::requirements.txt::beautifulsoup4::add,beautifulsoup4,4.14.3,2025-12-12T12:17:07Z,NONE,,,False,same
debjitttdasss/Ai-project#4::requirements.txt::flask::add,Flask,3.1.0,2026-03-26T08:41:25Z,P3_DIRECT_KNOWN_VULNERABILITY,GHSA-4grg-w6v8-c28g;GHSA-68rp-wp8r-4726;PYSEC-2026-2151,GHSA-4grg-w6v8-c28g;GHSA-68rp-wp8r-4726;PYSEC-2026-1377,True,same
debjitttdasss/Ai-project#4::requirements.txt::gunicorn::add,gunicorn,23.0.0,2026-03-26T08:41:25Z,NONE,,,False,same
apy65360-hash/customer-support-env#4::requirements.txt::passlib::version_change,passlib,1.7.4,2026-04-12T15:47:16Z,NONE,,,False,same
ssk525/agentic-research-assistant#5::requirements.txt::sqlalchemy::version_change,sqlalchemy,2.0.35,2026-06-09T06:54:22Z,NONE,,,False,same
kiboki1234/Texto-voz-voz-Texto#2::backend/requirements.txt::pydantic::version_change,pydantic,2.13.4,2026-05-22T07:03:15Z,NONE,,,False,same
HaibinFan/dermamnist-skin-lesion-classification#3::requirements.txt::torch::add,torch,2.2.0,2026-03-23T23:27:55Z,P3_DIRECT_KNOWN_VULNERABILITY,GHSA-3749-ghw9-m3mg;GHSA-53q9-r3pm-6pq6;GHSA-887c-mr87-cxwp,GHSA-3749-ghw9-m3mg;GHSA-53q9-r3pm-6pq6;GHSA-887c-mr87-cxwp,True,same
HaibinFan/dermamnist-skin-lesion-classification#3::requirements.txt::torchvision::add,torchvision,0.17.0,2026-03-23T23:27:55Z,NONE,,,False,same
HaibinFan/dermamnist-skin-lesion-classification#3::requirements.txt::numpy::add,numpy,1.26.4,2026-03-23T23:27:55Z,NONE,,,False,same
HaibinFan/dermamnist-skin-lesion-classification#3::requirements.txt::matplotlib::add,matplotlib,3.8.3,2026-03-23T23:27:55Z,NONE,,,False,same
HaibinFan/dermamnist-skin-lesion-classification#3::requirements.txt::medmnist::add,medmnist,3.0.2,2026-03-23T23:27:55Z,NONE,,,False,same
HaibinFan/dermamnist-skin-lesion-classification#3::requirements.txt::scikit-learn::add,scikit-learn,1.4.1,2026-03-23T23:27:55Z,P2_INVALID_VERSION_SPEC,GHSA-jw8x-6495-233v;PYSEC-2024-110,GHSA-jw8x-6495-233v;PYSEC-2024-110,True,same
motanova84/Riemann-adelic#2748::requirements-lock.txt::nbconvert::version_change,nbconvert,7.17.0,2026-03-16T21:32:19Z,NONE,,GHSA-4c99-qj7h-p3vg;GHSA-7jqv-fw35-gmx9;PYSEC-2026-2229,False,same
motanova84/Riemann-adelic#2748::requirements-lock.txt::pillow::version_change,pillow,12.1.1,2026-03-16T21:32:19Z,P3_DIRECT_KNOWN_VULNERABILITY,,GHSA-5xmw-vc9v-4wf2;GHSA-pwv6-vv43-88gr;GHSA-r73j-pqj5-w3x7,False,FP(P3->NONE)
DevRexxxx/Music_Player#10::requirements.txt::asgiref::add,asgiref,3.9.1,2025-12-30T18:38:16Z,NONE,,,False,same
DevRexxxx/Music_Player#10::requirements.txt::dj-database-url::add,dj-database-url,3.0.1,2025-12-30T18:38:16Z,NONE,,,False,same
DevRexxxx/Music_Player#10::requirements.txt::django::add,Django,5.2.5,2025-12-30T18:38:16Z,P3_DIRECT_KNOWN_VULNERABILITY,GHSA-6w2r-r2m5-xq5w;GHSA-frmv-pr5f-9mcr;GHSA-hpr9-3m2g-3j9p,GHSA-2mcm-79hx-8fxw;GHSA-33mw-q7rj-mjwj;GHSA-4rrr-2h4v-f3j9,True,same
DevRexxxx/Music_Player#10::requirements.txt::gunicorn::add,gunicorn,23.0.0,2025-12-30T18:38:16Z,NONE,,,False,same
DevRexxxx/Music_Player#10::requirements.txt::mpmath::add,mpmath,1.3.0,2025-12-30T18:38:16Z,NONE,,,False,same
DevRexxxx/Music_Player#10::requirements.txt::mysqlclient::add,mysqlclient,2.2.7,2025-12-30T18:38:16Z,NONE,,,False,same
DevRexxxx/Music_Player#10::requirements.txt::packaging::add,packaging,25.0,2025-12-30T18:38:16Z,NONE,,,False,same
DevRexxxx/Music_Player#10::requirements.txt::psycopg2-binary::add,psycopg2-binary,2.9.10,2025-12-30T18:38:16Z,NONE,,,False,same
DevRexxxx/Music_Player#10::requirements.txt::python-decouple::add,python-decouple,3.8,2025-12-30T18:38:16Z,NONE,,,False,same
DevRexxxx/Music_Player#10::requirements.txt::sqlparse::add,sqlparse,0.5.3,2025-12-30T18:38:16Z,NONE,,GHSA-27jp-wm6q-gp25,False,same
DevRexxxx/Music_Player#10::requirements.txt::sympy::add,sympy,1.13.3,2025-12-30T18:38:16Z,NONE,,,False,same
DevRexxxx/Music_Player#10::requirements.txt::tzdata::add,tzdata,2025.2,2025-12-30T18:38:16Z,NONE,,,False,same
DevRexxxx/Music_Player#10::requirements.txt::whitenoise::add,whitenoise,6.9.0,2025-12-30T18:38:16Z,NONE,,,False,same
DevRexxxx/Music_Player#10::requirements.txt::pillow::add,Pillow,10.4.0,2025-12-30T18:38:16Z,P3_DIRECT_KNOWN_VULNERABILITY,,GHSA-cfh3-3jmp-rvhc;GHSA-pwv6-vv43-88gr;GHSA-r73j-pqj5-w3x7,False,FP(P3->NONE)
dotkaio/pose-tracking-3d#3::requirements.txt::torch::add,torch,2.6.0,2026-05-20T07:05:27Z,P3_DIRECT_KNOWN_VULNERABILITY,GHSA-3749-ghw9-m3mg;GHSA-887c-mr87-cxwp;GHSA-c678-jfcj-6jmf,GHSA-3749-ghw9-m3mg;GHSA-887c-mr87-cxwp;GHSA-c678-jfcj-6jmf,True,same
dotkaio/pose-tracking-3d#3::requirements.txt::torchvision::add,torchvision,0.21.0,2026-05-20T07:05:27Z,NONE,,,False,same
dotkaio/pose-tracking-3d#3::requirements.txt::torchaudio::add,torchaudio,2.6.0,2026-05-20T07:05:27Z,NONE,,,False,same
jmalik001/content-writer-agent#5::backend/requirements.txt::pydantic-settings::version_change,pydantic-settings,2.10.1,2026-04-18T14:28:26Z,NONE,,,False,same
im-sandbox-sukumarp/expense-tracker#16::requirements.txt::requests::add,requests,2.34.2,2026-05-24T07:16:23Z,NONE,,,False,same
Dhanush-M-0/SmartBiz#1::requirements.txt::pyjwt::version_change,PyJWT,2.8.0,2026-03-28T23:29:32Z,P3_DIRECT_KNOWN_VULNERABILITY,GHSA-752w-5fwx-jx9f;PYSEC-2025-183;PYSEC-2026-120,GHSA-752w-5fwx-jx9f;GHSA-993g-76c3-p5m4;GHSA-fhv5-28vv-h8m8,True,same
joviw0715/voice-ai#1::requirements.txt::fastapi::add,fastapi,0.136.1,2026-05-12T11:17:04Z,NONE,,,False,same
joviw0715/voice-ai#1::requirements.txt::uvicorn::add,uvicorn,0.46.0,2026-05-12T11:17:04Z,NONE,,,False,same
joviw0715/voice-ai#1::requirements.txt::websockets::add,websockets,16.0,2026-05-12T11:17:04Z,NONE,,,False,same
joviw0715/voice-ai#1::requirements.txt::python-multipart::add,python-multipart,0.0.28,2026-05-12T11:17:04Z,NONE,,GHSA-5rvq-cxj2-64vf;GHSA-6jv3-5f52-599m;GHSA-v9pg-7xvm-68hf,False,same
Shierfall/MiniProject2DRTS#1::requirements.txt::pygame::add,pygame,2.6.1,2026-04-09T11:28:53Z,NONE,,,False,same
shivaylamba/gemma4-finetuning-on-legaldata#1::requirements.txt::transformers::add,transformers,5.5.0,2026-04-21T09:39:44Z,NONE,,,False,same
shivaylamba/gemma4-finetuning-on-legaldata#1::requirements.txt::accelerate::add,accelerate,1.6.0,2026-04-21T09:39:44Z,NONE,,,False,same
shivaylamba/gemma4-finetuning-on-legaldata#1::requirements.txt::peft::add,peft,0.14.0,2026-04-21T09:39:44Z,NONE,,,False,same
shivaylamba/gemma4-finetuning-on-legaldata#1::requirements.txt::trl::add,trl,0.15.2,2026-04-21T09:39:44Z,NONE,,,False,same
shivaylamba/gemma4-finetuning-on-legaldata#1::requirements.txt::datasets::add,datasets,3.5.1,2026-04-21T09:39:44Z,NONE,,,False,same
shivaylamba/gemma4-finetuning-on-legaldata#1::requirements.txt::bitsandbytes::add,bitsandbytes,0.45.5,2026-04-21T09:39:44Z,NONE,,,False,same
shivaylamba/gemma4-finetuning-on-legaldata#1::requirements.txt::safetensors::add,safetensors,0.5.3,2026-04-21T09:39:44Z,NONE,,,False,same
shivaylamba/gemma4-finetuning-on-legaldata#1::requirements.txt::huggingface-hub::add,huggingface_hub,0.30.2,2026-04-21T09:39:44Z,NONE,,,False,same
shivaylamba/gemma4-finetuning-on-legaldata#1::requirements.txt::sentencepiece::add,sentencepiece,0.2.1,2026-04-21T09:39:44Z,NONE,,,False,same
shivaylamba/gemma4-finetuning-on-legaldata#1::requirements.txt::protobuf::add,protobuf,5.29.6,2026-04-21T09:39:44Z,NONE,,,False,same
shivaylamba/gemma4-finetuning-on-legaldata#1::requirements.txt::einops::add,einops,0.8.1,2026-04-21T09:39:44Z,NONE,,,False,same
Karanraj-6/University_ChatBot#3::requirements.txt::aiohappyeyeballs::add,aiohappyeyeballs,2.4.4,2026-01-27T20:29:22Z,NONE,,,False,same
Har00ny/TechExcel-Integrating-Azure-PaaS-and-AI-Services-for-AI-Design-Wins#1::src/NameAgeApp/requirements.txt::streamlit::add,streamlit,1.45.1,2026-06-07T12:10:35Z,P3_DIRECT_KNOWN_VULNERABILITY,GHSA-7p48-42j8-8846;PYSEC-2026-212;PYSEC-2026-2285,GHSA-7p48-42j8-8846;PYSEC-2026-212;PYSEC-2026-2285,True,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::absl-py::add,absl-py,2.4.0,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::aiohappyeyeballs::add,aiohappyeyeballs,2.6.1,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::aiohttp::add,aiohttp,3.13.5,2026-04-22T21:16:54Z,NONE,,GHSA-2fqr-mr3j-6wp8;GHSA-4fvr-rgm6-gqmc;GHSA-4m7w-qmgq-4wj5,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::aiosignal::add,aiosignal,1.4.0,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::aiosqlite::add,aiosqlite,0.22.1,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::alabaster::add,alabaster,1.0.0,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::annotated-doc::add,annotated-doc,0.0.4,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::annotated-types::add,annotated-types,0.7.0,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::anthropic::add,anthropic,0.96.0,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::anyio::add,anyio,4.13.0,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::appdirs::add,appdirs,1.4.4,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::asgiref::add,asgiref,3.11.1,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::async-timeout::add,async-timeout,5.0.1,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::attrs::add,attrs,26.1.0,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::babel::add,babel,2.18.0,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::backoff::add,backoff,2.2.1,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::banks::add,banks,2.4.1,2026-04-22T21:16:54Z,NONE,,GHSA-gphh-9q3h-jgpp;PYSEC-2026-2390,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::bcrypt::add,bcrypt,5.0.0,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::beautifulsoup4::add,beautifulsoup4,4.14.3,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::build::add,build,1.4.4,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::cachetools::add,cachetools,6.2.6,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::certifi::add,certifi,2026.4.22,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::cffi::add,cffi,2.0.0,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::charset-normalizer::add,charset-normalizer,3.4.7,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::chromadb::add,chromadb,1.1.1,2026-04-22T21:16:54Z,NONE,,GHSA-f4j7-r4q5-qw2c;PYSEC-2026-311,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::click::add,click,8.3.3,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::cohere::add,cohere,5.21.1,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::colorama::add,colorama,0.4.6,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::coverage::add,coverage,7.13.5,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::crewai::add,crewai,1.6.1,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::cryptography::add,cryptography,46.0.7,2026-04-22T21:16:54Z,P3_DIRECT_KNOWN_VULNERABILITY,,GHSA-537c-gmf6-5ccf,False,FP(P3->NONE)
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::cuda-bindings::add,cuda-bindings,13.2.0,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::cuda-pathfinder::add,cuda-pathfinder,1.5.3,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::cuda-toolkit::add,cuda-toolkit,13.0.2,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::dataclasses-json::add,dataclasses-json,0.6.7,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::deprecated::add,deprecated,1.3.1,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::deprecation::add,deprecation,2.1.0,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::dirtyjson::add,dirtyjson,1.0.8,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::distro::add,distro,1.9.0,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::docstring-parser::add,docstring-parser,0.18.0,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::docutils::add,docutils,0.22.4,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::duckduckgo-search::add,duckduckgo-search,8.1.1,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::durationpy::add,durationpy,0.10,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::et-xmlfile::add,et-xmlfile,2.0.0,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::fastapi::add,fastapi,0.136.0,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::fastavro::add,fastavro,1.12.1,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::filelock::add,filelock,3.29.0,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::filetype::add,filetype,1.2.0,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::flatbuffers::add,flatbuffers,25.12.19,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::frozenlist::add,frozenlist,1.8.0,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::fsspec::add,fsspec,2026.3.0,2026-04-22T21:16:54Z,NONE,,,False,same
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::google-ai-generativelanguage::add,google-ai-generativelanguage,0.6.15,2026-04-22T21:16:54Z,NONE,,,False,same
