change_id,repo,agent,package,pinned_version,secondary_label,fired_stages_B3
Sawsqr68/End-to-End-Machine-Learning-Projects#2::requirements.txt::gensim::add,Sawsqr68/End-to-End-Machine-Learning-Projects,copilot,gensim,,S4_LICENSE_POLICY_CONFLICT,S5
Sawsqr68/End-to-End-Machine-Learning-Projects#2::requirements.txt::snscrape::add,Sawsqr68/End-to-End-Machine-Learning-Projects,copilot,snscrape,,S4_LICENSE_POLICY_CONFLICT,S5
shawnzhou17/shawnzhou#1::backend/requirements.txt::psycopg2-binary::add,shawnzhou17/shawnzhou,copilot,psycopg2-binary,2.9.9,S4_LICENSE_POLICY_CONFLICT,S5
bhattunagavenkateshraju-blip/skills-introduction-to-github#5::student_management_system/requirements.txt::mysql-connector-python::add,bhattunagavenkateshraju-blip/skills-introduction-to-github,copilot,mysql-connector-python,,S4_LICENSE_POLICY_CONFLICT,S5
harunraseed/Event_Flow_Project#4::requirements.txt::psycopg2-binary::version_change,harunraseed/Event_Flow_Project,copilot,psycopg2-binary,2.9.9,S4_LICENSE_POLICY_CONFLICT,S5
rock4007/cyber-gurad-ai-telegram#1::requirements.txt::python-telegram-bot::add,rock4007/cyber-gurad-ai-telegram,copilot,python-telegram-bot,20.7,S4_LICENSE_POLICY_CONFLICT,S5
rock4007/cyber-gurad-ai-telegram#1::requirements.txt::psycopg2-binary::add,rock4007/cyber-gurad-ai-telegram,copilot,psycopg2-binary,2.9.9,S4_LICENSE_POLICY_CONFLICT,S5
vancesteven/PlanetProfile#64::pyproject.toml::seafreeze::add,vancesteven/PlanetProfile,copilot,SeaFreeze,,S4_LICENSE_POLICY_CONFLICT,S5
vancesteven/PlanetProfile#64::pyproject.toml::moonmag::add,vancesteven/PlanetProfile,copilot,MoonMag,,S4_LICENSE_POLICY_CONFLICT,S5
vancesteven/PlanetProfile#64::pyproject.toml::pyalma3::add,vancesteven/PlanetProfile,copilot,pyalma3,,S4_LICENSE_POLICY_CONFLICT,S5
theshashank1/TESH-Query#25::pyproject.toml::psycopg2-binary::add,theshashank1/TESH-Query,copilot,psycopg2-binary,,S4_LICENSE_POLICY_CONFLICT,S5
theshashank1/TESH-Query#25::pyproject.toml::mysql-connector-python::version_change,theshashank1/TESH-Query,copilot,mysql-connector-python,,S4_LICENSE_POLICY_CONFLICT,S5
theshashank1/TESH-Query#25::pyproject.toml::mariadb::version_change,theshashank1/TESH-Query,copilot,mariadb,,S4_LICENSE_POLICY_CONFLICT,S5
muka-dev/cosinnus-core#1::pyproject.toml::html2text::add,muka-dev/cosinnus-core,copilot,html2text,2016.9.19,S4_LICENSE_POLICY_CONFLICT,S5
muka-dev/cosinnus-core#1::pyproject.toml::pycountry::add,muka-dev/cosinnus-core,copilot,pycountry,20.7.3,S4_LICENSE_POLICY_CONFLICT,S5
muka-dev/cosinnus-core#1::pyproject.toml::clamd::add,muka-dev/cosinnus-core,copilot,clamd,1.0.2,S4_LICENSE_POLICY_CONFLICT,S5
aicorn/SandboxCLI#2::requirements-dev.txt::paramiko::add,aicorn/SandboxCLI,copilot,paramiko,,S4_LICENSE_POLICY_CONFLICT,S5
bjoernellens1/FastGS#1::requirements.txt::plyfile::add,bjoernellens1/FastGS,copilot,plyfile,,S4_LICENSE_POLICY_CONFLICT,S5
tunadev-io/Yolov8-GS-ECA#2::setup.py::ultralytics::add,tunadev-io/Yolov8-GS-ECA,copilot,ultralytics,,S4_LICENSE_POLICY_CONFLICT,S5
hsindhar-sparkmicro/GB10-Spark#1::requirements.txt::paramiko::add,hsindhar-sparkmicro/GB10-Spark,copilot,paramiko,,S4_LICENSE_POLICY_CONFLICT,S5
hsindhar-sparkmicro/GB10-Spark#1::setup.py::paramiko::add,hsindhar-sparkmicro/GB10-Spark,copilot,paramiko,,S4_LICENSE_POLICY_CONFLICT,S5
fffergal/fructify#85::pyproject.toml::psycopg2-binary::add,fffergal/fructify,copilot,psycopg2-binary,,S4_LICENSE_POLICY_CONFLICT,S5
Aivix-Studios/ai_toolbar#2::requirements.txt::pyqt5::add,Aivix-Studios/ai_toolbar,copilot,PyQt5,,S4_LICENSE_POLICY_CONFLICT,S5
Aivix-Studios/ai_toolbar#2::requirements.txt::pyqtwebengine::add,Aivix-Studios/ai_toolbar,copilot,PyQtWebEngine,,S4_LICENSE_POLICY_CONFLICT,S5
Aivix-Studios/ai_toolbar#2::requirements.txt::pynput::add,Aivix-Studios/ai_toolbar,copilot,pynput,,S4_LICENSE_POLICY_CONFLICT,S5
Aivix-Studios/ai_toolbar#2::setup.py::pyinstaller::add,Aivix-Studios/ai_toolbar,copilot,pyinstaller,,S4_LICENSE_POLICY_CONFLICT,S5
marctdt/outlookbot#1::requirements.txt::python-telegram-bot::add,marctdt/outlookbot,copilot,python-telegram-bot,20.7,S4_LICENSE_POLICY_CONFLICT,S5
dhar174/research_corpus_organizer#70::pyproject.toml::pymupdf::add,dhar174/research_corpus_organizer,copilot,pymupdf,,S4_LICENSE_POLICY_CONFLICT,S5
ranjith-gampa/dragoncrawl#2::setup.py::faiss-gpu::add,ranjith-gampa/dragoncrawl,copilot,faiss-gpu,,NONE,S2
ranjith-gampa/dragoncrawl#2::setup.py::pymobiledevice3::add,ranjith-gampa/dragoncrawl,copilot,pymobiledevice3,,S4_LICENSE_POLICY_CONFLICT,S5
conorheffron/booking-sys#405::backend/requirements.txt::django-dash::add,conorheffron/booking-sys,copilot,django-dash,0.6.1,S4_LICENSE_POLICY_CONFLICT,S5
mrx88/k8s-python-flask-api#7::requirements.txt::pylint::version_change,mrx88/k8s-python-flask-api,copilot,pylint,3.0.2,S4_LICENSE_POLICY_CONFLICT,S5
mrx88/k8s-python-flask-api#7::requirements.txt::astroid::version_change,mrx88/k8s-python-flask-api,copilot,astroid,3.0.1,S4_LICENSE_POLICY_CONFLICT,S5
iamjeerge/Wind-Farm-Wake-Loss-and-Power-Loss-Estimation#2::backend/pyproject.toml::psycopg2-binary::version_change,iamjeerge/Wind-Farm-Wake-Loss-and-Power-Loss-Estimation,copilot,psycopg2-binary,,S4_LICENSE_POLICY_CONFLICT,S5
aio-it/mmchatgpt#99::requirements.txt::psycopg::version_change,aio-it/mmchatgpt,copilot,psycopg,3.3.3,S4_LICENSE_POLICY_CONFLICT,S5
aio-it/mmchatgpt#99::requirements.txt::psycopg-binary::version_change,aio-it/mmchatgpt,copilot,psycopg-binary,3.3.3,S4_LICENSE_POLICY_CONFLICT,S5
aio-it/mmchatgpt#99::requirements.txt::psycopg-pool::version_change,aio-it/mmchatgpt,copilot,psycopg-pool,3.3.0,S4_LICENSE_POLICY_CONFLICT,S5
chair-dev-364/Battles-of-Bench-Python#1::requirements.txt::pygame::add,chair-dev-364/Battles-of-Bench-Python,copilot,pygame,,S4_LICENSE_POLICY_CONFLICT,S5
chair-dev-364/Battles-of-Bench-Python#1::requirements.txt::mutagen::add,chair-dev-364/Battles-of-Bench-Python,copilot,mutagen,,S4_LICENSE_POLICY_CONFLICT,S5
tkstanch/Megido#17::requirements.txt::psycopg2-binary::add,tkstanch/Megido,copilot,psycopg2-binary,,S4_LICENSE_POLICY_CONFLICT,S5
mirest/collector#24::requirements.txt::psycopg2-binary::version_change,mirest/collector,copilot,psycopg2-binary,2.9.7,S4_LICENSE_POLICY_CONFLICT,S5
scottBowles/dnd#19::requirements.txt::psycopg::add,scottBowles/dnd,copilot,psycopg,3.2.9,S4_LICENSE_POLICY_CONFLICT,S5
vaishnavigar/Traffic-Detection-Model#2::requirements.txt::ultralytics::add,vaishnavigar/Traffic-Detection-Model,devin,ultralytics,8.4.59,S4_LICENSE_POLICY_CONFLICT,S5
vHenry10/MHTWEAKS#1::requirements.txt::pynput::add,vHenry10/MHTWEAKS,devin,pynput,,S4_LICENSE_POLICY_CONFLICT,S5
dekatz/attendance-tracker#1::requirements.txt::psycopg2-binary::version_change,dekatz/attendance-tracker,devin,psycopg2-binary,2.9.12,S4_LICENSE_POLICY_CONFLICT,S5
Beluga8292/plasmaworld_site#2::telegram_bot/requirements.txt::python-telegram-bot::add,Beluga8292/plasmaworld_site,devin,python-telegram-bot,,S4_LICENSE_POLICY_CONFLICT,S5
nikitahotkolesnikov2022-cmd/voice-to-text-bot#1::requirements.txt::python-telegram-bot::add,nikitahotkolesnikov2022-cmd/voice-to-text-bot,devin,python-telegram-bot,21.6,S4_LICENSE_POLICY_CONFLICT,S5
nasimmostakim7/re#1::requirements.txt::pyqt6::add,nasimmostakim7/re,devin,PyQt6,,S4_LICENSE_POLICY_CONFLICT,S5
nasimmostakim7/re#1::requirements.txt::undetected-chromedriver::add,nasimmostakim7/re,devin,undetected-chromedriver,,S4_LICENSE_POLICY_CONFLICT,S5
Aditya90123/KEYENCE#1::KEYENCE/requirements.txt::pyqt6::add,Aditya90123/KEYENCE,devin,PyQt6,,S4_LICENSE_POLICY_CONFLICT,S5
amirhashmilive/LOKI-Windows-Agent#2::requirements.txt::pystray::add,amirhashmilive/LOKI-Windows-Agent,devin,pystray,0.19.5,S4_LICENSE_POLICY_CONFLICT,S5
amirhashmilive/LOKI-Windows-Agent#2::requirements.txt::pyinstaller::add,amirhashmilive/LOKI-Windows-Agent,devin,pyinstaller,6.3.0,S4_LICENSE_POLICY_CONFLICT,S5
COG-GTM/ansible_collection_falcon#4::.devcontainer/requirements.txt::ansible-core::version_change,COG-GTM/ansible_collection_falcon,devin,ansible-core,2.16.18,S4_LICENSE_POLICY_CONFLICT,S5
ayukusniawati13/testos#1::requirements.txt::pyside6::add,ayukusniawati13/testos,devin,PySide6,,S4_LICENSE_POLICY_CONFLICT,S5
ayukusniawati13/testos#1::requirements.txt::mutagen::add,ayukusniawati13/testos,devin,mutagen,,S4_LICENSE_POLICY_CONFLICT,S5
matheo7-frz/Flux4#1::requirements.txt::pyside6::add,matheo7-frz/Flux4,devin,PySide6,,S4_LICENSE_POLICY_CONFLICT,S5
matheo7-frz/Flux4#1::setup.py::pyside6::add,matheo7-frz/Flux4,devin,PySide6,,S4_LICENSE_POLICY_CONFLICT,S5
shagg7699-lang/BroAssistant-#1::requirements.txt::piper-tts::add,shagg7699-lang/BroAssistant-,devin,piper-tts,,S4_LICENSE_POLICY_CONFLICT,S5
shagg7699-lang/BroAssistant-#1::requirements.txt::pystray::add,shagg7699-lang/BroAssistant-,devin,pystray,,S4_LICENSE_POLICY_CONFLICT,S5
shagg7699-lang/BroAssistant-#1::requirements.txt::python-telegram-bot::add,shagg7699-lang/BroAssistant-,devin,python-telegram-bot,,S4_LICENSE_POLICY_CONFLICT,S5
rilspratama/bot_price#2::requirements.txt::pyrogram::version_change,rilspratama/bot_price,devin,pyrogram,,S4_LICENSE_POLICY_CONFLICT,S5
rilspratama/bot_price#2::requirements.txt::tgcrypto::version_change,rilspratama/bot_price,devin,tgcrypto,,S4_LICENSE_POLICY_CONFLICT,S5
COG-GTM/USArmy-Dshell#17::requirements.txt::pypacker::add,COG-GTM/USArmy-Dshell,devin,pypacker,5.4,S4_LICENSE_POLICY_CONFLICT,S5
tadashi0713/superset#1::requirements/development.txt::astroid::version_change,tadashi0713/superset,devin,astroid,4.0.4,S4_LICENSE_POLICY_CONFLICT,S5
tadashi0713/superset#1::requirements/development.txt::mysqlclient::version_change,tadashi0713/superset,devin,mysqlclient,2.2.8,S4_LICENSE_POLICY_CONFLICT,S5
tadashi0713/superset#1::requirements/development.txt::pylint::version_change,tadashi0713/superset,devin,pylint,4.0.5,S4_LICENSE_POLICY_CONFLICT,S5
Abhijit85/superset#47::pyproject.toml::paramiko::version_change,Abhijit85/superset,devin,paramiko,,S4_LICENSE_POLICY_CONFLICT,S5
ai4ai/superset#17::requirements/base.in::paramiko::add,ai4ai/superset,devin,paramiko,,S4_LICENSE_POLICY_CONFLICT,S5
blue-eagle/devin_take_home_project#19::pyproject.toml::paramiko::version_change,blue-eagle/devin_take_home_project,devin,paramiko,,S4_LICENSE_POLICY_CONFLICT,S5
blue-eagle/devin_take_home_project#19::pyproject.toml::pyjwt::version_change,blue-eagle/devin_take_home_project,devin,PyJWT,,NONE,S2
vaniachow/superset#108::pyproject.toml::paramiko::version_change,vaniachow/superset,devin,paramiko,,S4_LICENSE_POLICY_CONFLICT,S5
vaniachow/superset#108::requirements/base.in::paramiko::add,vaniachow/superset,devin,paramiko,,S4_LICENSE_POLICY_CONFLICT,S5
LuaxY/superset#14::requirements/development.txt::astroid::version_change,LuaxY/superset,devin,astroid,4.0.4,S4_LICENSE_POLICY_CONFLICT,S5
LuaxY/superset#14::requirements/development.txt::mysqlclient::version_change,LuaxY/superset,devin,mysqlclient,2.2.8,S4_LICENSE_POLICY_CONFLICT,S5
LuaxY/superset#14::requirements/development.txt::pylint::version_change,LuaxY/superset,devin,pylint,4.0.5,S4_LICENSE_POLICY_CONFLICT,S5
BOMUND/Akli2.0#4::requirements.txt::pyqt6::version_change,BOMUND/Akli2.0,devin,PyQt6,,S4_LICENSE_POLICY_CONFLICT,S5
COG-GTM/USArmy-ARL-Active-Defense-Framework#3::requirements.txt::python-can::add,COG-GTM/USArmy-ARL-Active-Defense-Framework,devin,python-can,4.6.1,S4_LICENSE_POLICY_CONFLICT,S5
milind-windsurf/pootle#1::requirements/base.txt::translate-toolkit::version_change,milind-windsurf/pootle,devin,translate-toolkit,,S4_LICENSE_POLICY_CONFLICT,S5
ManBoyx/E.G.C#1::requirements.txt::pyqt5::version_change,ManBoyx/E.G.C,devin,PyQt5,,S4_LICENSE_POLICY_CONFLICT,S5
ManBoyx/E.G.C#1::requirements.txt::pyqtwebengine::version_change,ManBoyx/E.G.C,devin,PyQtWebEngine,,S4_LICENSE_POLICY_CONFLICT,S5
ManBoyx/E.G.C#1::setup.py::pyqt5::version_change,ManBoyx/E.G.C,devin,PyQt5,,S4_LICENSE_POLICY_CONFLICT,S5
ManBoyx/E.G.C#1::setup.py::pyqtwebengine::version_change,ManBoyx/E.G.C,devin,PyQtWebEngine,,S4_LICENSE_POLICY_CONFLICT,S5
coutcastt/TCGA#1::requirements-lock.txt::astroid::add,coutcastt/TCGA,devin,astroid,4.0.4,S4_LICENSE_POLICY_CONFLICT,S5
coutcastt/TCGA#1::requirements-lock.txt::ecos::add,coutcastt/TCGA,devin,ecos,2.0.14,S4_LICENSE_POLICY_CONFLICT,S5
coutcastt/TCGA#1::requirements-lock.txt::pylint::add,coutcastt/TCGA,devin,pylint,4.0.5,S4_LICENSE_POLICY_CONFLICT,S5
coutcastt/TCGA#1::requirements-lock.txt::scikit-survival::add,coutcastt/TCGA,devin,scikit-survival,0.27.0,S4_LICENSE_POLICY_CONFLICT,S5
coutcastt/TCGA#1::requirements.txt::scikit-survival::add,coutcastt/TCGA,devin,scikit-survival,,S4_LICENSE_POLICY_CONFLICT,S5
silveimar/graphify#8::pyproject.toml::patchelf::add,silveimar/graphify,aider,patchelf,,S4_LICENSE_POLICY_CONFLICT,S5
D-sorganization/UpstreamDrift#800::requirements.txt::pyqt6::add,D-sorganization/UpstreamDrift,cursor,PyQt6,,S4_LICENSE_POLICY_CONFLICT,S5
D-sorganization/UpstreamDrift#800::requirements.txt::pygame::add,D-sorganization/UpstreamDrift,cursor,pygame,,S4_LICENSE_POLICY_CONFLICT,S5
yellowcandle/mv-face-recognition#19::mvp-processor/pyproject.toml::ultralytics::add,yellowcandle/mv-face-recognition,cursor,ultralytics,,S4_LICENSE_POLICY_CONFLICT,S5
hickeroar/simplebayes#5::setup/requirements.dev.txt::pylint::version_change,hickeroar/simplebayes,cursor,pylint,,S4_LICENSE_POLICY_CONFLICT,S5
KooshaPari/pheno#77::python/pheno-core-utils/pyproject.toml::psycopg2-binary::add,KooshaPari/pheno,cursor,psycopg2-binary,,S4_LICENSE_POLICY_CONFLICT,S5
agent-jetpack/pack#1::libs/deepagents/pyproject.toml::pymupdf::add,agent-jetpack/pack,cursor,pymupdf,,S4_LICENSE_POLICY_CONFLICT,S5
midnghtsapphire/bar-chart-race-engine#2::requirements.txt::bar-chart-race::add,midnghtsapphire/bar-chart-race-engine,devin,bar_chart_race,,NONE,S2
