# pre-strict raw-result expanded-proxy ladder; NOT the manuscript's strict AFSP (see Table IV / results/metrics_v2/table5_baseline_ladder_v2.csv). afsp_pre_strict_proxy uses pre-strict-offline decisions.
model,mode,n,risky_acc,risky_acc_ci_lo,risky_acc_ci_hi,false_block,false_allow,block_rate,afsp_pre_strict_proxy,dir,n_risky,n_false_block,n_blocked
Qwen-32B,B0,240,0.2292,0.1805,0.2864,0.0,0.2292,0.0,0.6458,0.0,55,0,0
Qwen-32B,B1,240,0.1292,0.0925,0.1775,0.0292,0.1292,0.1292,0.6333,0.0292,31,7,31
Qwen-32B,S1_only,240,0.1625,0.1212,0.2144,0.0042,0.1625,0.0708,0.6458,0.0042,39,1,17
Qwen-32B,S1_S3,240,0.1292,0.0925,0.1775,0.0292,0.1292,0.1292,0.6333,0.0292,31,7,31
Qwen-32B,B1_resolver,240,0.0667,0.0414,0.1055,0.0417,0.0667,0.2042,0.625,0.0417,16,10,49
Qwen-32B,B1_osv,240,0.1958,0.1506,0.2507,0.025,0.1958,0.0583,0.6333,0.025,47,6,14
Qwen-32B,B2_practical,240,0.0333,0.017,0.0644,0.0667,0.0333,0.2625,0.6125,0.0667,8,16,63
Qwen-32B,B2_practical_license,240,0.0208,0.0089,0.0478,0.0667,0.0208,0.275,0.6125,0.0667,5,16,66
Qwen-32B,S1_S2_S3,240,0.0333,0.017,0.0644,0.0667,0.0333,0.2625,0.6125,0.0667,8,16,63
Qwen-32B,block_all_new,240,0.0,,0.0158,0.3917,0.0,0.6208,0.3292,0.3917,0,94,149
Qwen-32B,B3,240,0.0208,0.0089,0.0478,0.0667,0.0208,0.275,0.6125,0.0667,5,16,66
DeepSeek-6.7B,B0,240,0.1375,0.0996,0.1868,0.0,0.1375,0.0,0.55,0.0,33,0,0
DeepSeek-6.7B,B1,240,0.0792,0.0513,0.1203,0.0,0.0792,0.0583,0.55,0.0,19,0,14
DeepSeek-6.7B,S1_only,240,0.1,0.0681,0.1445,0.0,0.1,0.0375,0.55,0.0,24,0,9
DeepSeek-6.7B,S1_S3,240,0.0792,0.0513,0.1203,0.0,0.0792,0.0583,0.55,0.0,19,0,14
DeepSeek-6.7B,B1_resolver,240,0.0375,0.0199,0.0697,0.0,0.0375,0.1,0.55,0.0,9,0,24
DeepSeek-6.7B,B1_osv,240,0.1167,0.082,0.1634,0.0,0.1167,0.0208,0.55,0.0,28,0,5
DeepSeek-6.7B,B2_practical,240,0.0167,0.0065,0.0421,0.0,0.0167,0.1208,0.55,0.0,4,0,29
DeepSeek-6.7B,B2_practical_license,240,0.0083,0.0023,0.0299,0.0,0.0083,0.1292,0.55,0.0,2,0,31
DeepSeek-6.7B,S1_S2_S3,240,0.0167,0.0065,0.0421,0.0,0.0167,0.1208,0.55,0.0,4,0,29
DeepSeek-6.7B,block_all_new,240,0.0,,0.0158,0.2667,0.0,0.4042,0.3917,0.2667,0,64,97
DeepSeek-6.7B,B3,240,0.0042,0.0007,0.0232,0.0,0.0042,0.1333,0.55,0.0,1,0,32
CodeLlama-7B,B0,240,0.3333,0.2767,0.3952,0.0,0.3333,0.0,0.425,0.0,80,0,0
CodeLlama-7B,B1,240,0.1375,0.0996,0.1868,0.0042,0.1375,0.2,0.425,0.0042,33,1,48
CodeLlama-7B,S1_only,240,0.15,0.1104,0.2007,0.0042,0.15,0.1875,0.425,0.0042,36,1,45
CodeLlama-7B,S1_S3,240,0.1375,0.0996,0.1868,0.0042,0.1375,0.2,0.425,0.0042,33,1,48
CodeLlama-7B,B1_resolver,240,0.0917,0.0613,0.1349,0.0125,0.0917,0.2542,0.4167,0.0125,22,3,61
CodeLlama-7B,B1_osv,240,0.3208,0.265,0.3823,0.0,0.3208,0.0125,0.425,0.0,77,0,3
CodeLlama-7B,B2_practical,240,0.0792,0.0513,0.1203,0.0125,0.0792,0.2667,0.4167,0.0125,19,3,64
CodeLlama-7B,B2_practical_license,240,0.075,0.048,0.1154,0.0125,0.075,0.2708,0.4167,0.0125,18,3,65
CodeLlama-7B,S1_S2_S3,240,0.0792,0.0513,0.1203,0.0125,0.0792,0.2667,0.4167,0.0125,19,3,64
CodeLlama-7B,block_all_new,240,0.0,,0.0158,0.5125,0.0,0.8458,0.1,0.5125,0,123,203
CodeLlama-7B,B3,240,0.075,0.048,0.1154,0.025,0.075,0.2833,0.4042,0.025,18,6,68
